Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
August-2002,141.00,145.50,131.10,143.65,2116953,20972,292006389.00,14.40,1518835,71.75,2.65,
September-2002,146.05,147.80,130.00,140.15,109731418,44620,14350866513.00,17.80,105807730,96.42,-5.90,
October-2002,140.10,145.75,122.25,135.15,4004941,32216,535536163.00,23.50,2636130,65.82,-4.95,
November-2002,137.00,140.00,109.25,133.45,9189715,58972,1143520365.00,30.75,5657866,61.57,-3.55,
December-2002,133.00,153.20,130.20,140.55,6361098,48443,901803591.00,23.00,3611912,56.78,7.55,
January-2003,141.70,155.65,131.55,150.05,10669806,71472,1535228516.00,24.10,6354265,59.55,8.35,
February-2003,149.25,152.80,139.50,149.40,5330486,34661,784326883.00,13.30,3172427,59.51,0.15,
March-2003,150.00,152.40,132.00,133.95,8365877,33291,1155577132.00,20.40,6307601,75.40,-16.05,
April-2003,133.50,139.50,119.10,121.40,8517139,47150,1114288960.00,20.40,5334964,62.64,-12.10,
May-2003,123.75,141.60,119.25,137.65,10169469,49634,1320471906.00,22.35,6978335,68.62,13.90,
June-2003,135.00,152.50,135.00,150.20,6679813,44450,955753642.00,17.50,3660285,54.80,15.20,
July-2003,151.40,167.95,144.00,158.60,13591080,82707,2112097918.00,23.95,6426610,47.29,7.20,
August-2003,158.90,187.40,146.00,179.50,18771426,95103,3154834829.00,41.40,7668240,40.85,20.60,
September-2003,180.00,208.00,177.00,204.35,13835502,85847,2605549747.00,31.00,6793390,49.10,24.35,
October-2003,205.00,250.00,203.50,248.10,13885094,90924,3099793574.00,46.50,6580965,47.40,43.10,
November-2003,250.00,267.70,216.00,249.90,11151796,70686,2754142537.00,51.70,6084164,54.56,-0.10,
December-2003,253.75,309.95,253.50,295.70,47173681,85293,12814826955.00,56.45,37002977,78.44,41.95,
January-2004,299.70,318.30,275.00,295.25,21480815,97534,6467730300.00,43.30,12581359,58.57,-4.45,
February-2004,297.00,351.95,265.00,271.80,26445406,170477,8380133814.00,86.95,11003986,41.61,-25.20,
March-2004,274.50,307.80,265.10,295.90,8566100,96611,2455385074.00,42.70,2932701,34.24,21.40,
April-2004,299.50,325.45,286.00,315.20,18511911,137822,5711399739.00,39.45,7519182,40.62,15.70,
May-2004,316.00,319.50,218.00,230.35,10404584,79808,2838791072.00,101.50,5093133,48.95,-85.65,
June-2004,230.00,274.90,221.40,244.40,10907889,89413,2802163108.00,53.50,4081074,37.41,14.40,
July-2004,245.50,271.80,230.00,266.80,7418677,76677,1839625944.00,41.80,2723598,36.71,21.30,
August-2004,265.10,282.50,262.35,269.45,3233091,38683,886348997.00,20.15,1314479,40.66,4.35,
September-2004,270.05,297.90,260.00,286.05,4217039,49592,1173748879.00,37.90,1941644,46.04,16.00,
October-2004,286.00,303.00,278.00,299.00,5785174,38618,1707849342.00,25.00,3836571,66.32,13.00,
November-2004,300.00,345.50,295.50,340.20,5659043,52352,1823966838.00,50.00,3186077,56.30,40.20,
December-2004,341.65,379.90,334.00,370.75,5895917,72765,2129241516.00,45.90,2695171,45.71,29.10,
January-2005,374.85,378.50,330.05,360.60,2315519,28878,820140873.00,48.45,935389,40.40,-14.25,
February-2005,363.85,394.10,357.00,380.75,3537055,36401,1323950167.00,37.10,1818792,51.42,16.90,
